"trial","ref_position","var_area","response","correct","rt"
1,"L",13.0964245446958,"R",TRUE,2.39800000190735
2,"L",13.3652196452022,"R",TRUE,0.796000003814697
3,"R",13.6966039401013,"R",FALSE,1.19100022315979
4,"L",14.9147870098241,"L",FALSE,1.3899998664856
5,"L",12.5226197610609,"R",TRUE,2.49300003051758
6,"L",12.8573402503971,"R",TRUE,2.79500007629395
7,"R",10.7461304706521,"R",FALSE,1.49300003051758
8,"L",13.9428474667948,"R",TRUE,1.19400000572205
9,"R",14.3532077630516,"L",TRUE,0.896000146865845
10,"R",11.1011986611411,"R",FALSE,0.694000005722046
11,"L",12.9032572035212,"L",FALSE,0.593999862670898
12,"L",11.6094292092603,"R",TRUE,0.291999816894531
13,"R",10.3692907486111,"R",FALSE,0.595999956130981
14,"L",14.9011039885227,"L",FALSE,0.503999948501587
15,"L",10.7653985957149,"L",FALSE,0.394999980926514
16,"L",14.4293994968757,"L",FALSE,0.291000127792358
17,"R",11.6894299190026,"L",TRUE,0.594000101089478
18,"R",12.2951231643092,"R",FALSE,0.500999927520752
19,"L",14.1340151820332,"R",TRUE,0.696000099182129
20,"L",9.73793869954534,"R",TRUE,0.797999858856201
